Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
46,1,705,0,2,4,2,1,38,2,0,83,3,5,4,1,0,18947,22822,3,0,12,3,4,80,0,22,2,2,2,2,2,1,0
33,1,924,1,2,3,1,1,39,3,1,78,3,1,2,4,0,2496,6670,4,0,11,3,4,80,0,7,3,3,1,1,0,0,0
44,1,1459,1,10,4,4,1,40,4,1,41,3,2,7,4,1,6465,19121,2,1,13,3,4,80,0,9,5,4,4,2,1,3,0
30,1,125,1,9,2,1,1,41,4,1,83,2,1,2,3,0,2206,16117,1,0,13,3,1,80,0,10,5,3,10,0,1,8,0
39,1,895,0,5,3,3,1,42,4,1,56,3,2,5,4,1,2086,3335,3,0,14,3,3,80,1,19,6,4,1,0,0,0,1
24,1,813,1,1,3,1,1,45,2,1,61,3,1,1,4,1,2293,3020,2,1,16,3,1,80,1,6,2,2,2,0,2,0,1
43,1,1273,1,2,2,1,1,46,4,0,72,4,1,1,3,2,2645,21923,1,0,12,3,4,80,2,6,3,2,5,3,1,4,0
50,1,869,0,3,2,2,1,47,1,1,86,2,1,5,3,1,2683,3810,1,1,14,3,3,80,0,3,2,3,3,2,0,2,1
35,1,890,0,2,3,2,1,49,4,0,97,3,1,5,4,1,2014,9687,1,0,13,3,1,80,0,2,3,3,2,2,2,2,0
36,1,852,1,5,4,0,1,51,2,0,82,2,1,1,1,1,3419,13072,9,1,14,3,4,80,1,6,3,4,1,1,0,0,0
33,1,1141,0,1,3,0,1,52,3,0,42,4,2,0,1,1,5376,3193,2,0,19,3,1,80,2,10,3,3,5,3,1,3,0
35,1,464,1,4,2,4,1,53,3,1,75,3,1,2,4,2,1951,10910,1,0,12,3,3,80,1,1,3,3,1,0,0,0,0
27,1,1240,1,2,4,0,1,54,4,0,33,3,1,2,1,2,2341,19715,1,0,13,3,4,80,1,1,6,3,1,0,0,0,0
26,1,1357,1,25,3,0,1,55,1,1,48,1,1,2,3,0,2293,10558,1,0,12,3,3,80,0,1,2,2,1,0,0,1,1
27,1,994,0,8,3,0,1,56,4,1,37,3,3,0,3,0,8726,2975,1,0,15,3,4,80,0,9,0,3,9,8,1,7,0
30,1,721,1,1,2,1,1,57,3,0,58,3,2,2,4,0,4011,10781,1,0,23,4,4,80,0,12,2,3,12,8,3,7,0
41,1,1360,1,12,3,3,1,58,2,0,49,3,5,6,3,1,19545,16280,1,0,12,3,4,80,0,23,0,3,22,15,15,8,1
34,0,1065,0,23,4,2,1,60,2,1,72,3,2,0,3,0,4568,10034,0,0,20,4,3,80,0,10,2,3,9,5,8,7,0
37,1,408,1,19,2,0,1,61,2,1,73,3,1,1,2,1,3022,10227,4,0,21,4,1,80,0,8,1,3,1,0,0,0,0
46,1,1211,0,5,4,2,1,62,1,1,98,3,2,0,4,0,5772,20445,4,1,21,4,3,80,0,14,4,3,9,6,0,8,0
35,1,1229,1,8,1,0,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,19,3,4,80,0,1,2,3,1,0,0,1,0
48,1,626,1,1,2,0,1,64,1,1,98,2,3,2,3,0,5381,19294,9,1,13,3,4,80,0,23,2,3,1,0,0,0,1
28,1,1434,1,5,4,3,1,65,3,1,50,3,1,2,3,0,3441,11179,1,1,13,3,3,80,0,2,3,2,2,2,2,2,1
44,1,1488,0,1,5,2,1,68,2,0,75,3,2,0,1,2,5454,4009,5,1,21,4,3,80,1,9,2,2,4,3,1,3,0
35,0,1097,1,11,2,1,1,70,3,1,79,2,3,7,1,1,9884,8302,2,1,13,3,3,80,1,10,3,3,4,0,2,3,0
26,1,1443,0,23,3,2,1,72,3,0,47,2,2,0,4,1,4157,21436,7,1,19,3,3,80,1,5,2,2,2,2,0,0,0
33,1,515,1,1,2,0,1,73,1,0,98,3,3,6,4,0,13458,15146,1,1,12,3,3,80,0,15,1,3,15,14,8,12,0
35,1,853,0,18,5,0,1,74,2,1,71,3,3,0,1,1,9069,11031,1,0,22,4,4,80,1,9,3,2,9,8,1,8,0
35,1,1142,1,23,4,1,1,75,3,0,30,3,1,2,1,1,4014,16002,3,1,15,3,3,80,1,4,3,3,2,2,2,2,0
31,1,655,1,7,4,0,1,76,4,1,48,3,2,2,4,2,5915,9528,3,0,22,4,4,80,1,10,3,2,7,7,1,7,0
37,1,1115,1,1,4,0,1,77,1,1,51,2,2,3,3,2,5993,2689,1,0,18,3,3,80,1,7,2,4,7,5,0,7,0
32,1,427,1,1,3,1,1,78,1,1,33,3,2,3,4,1,6162,10877,1,1,22,4,2,80,1,9,3,3,9,8,7,8,0
38,1,653,1,29,5,0,1,79,4,0,50,3,2,2,4,0,2406,5456,1,0,11,3,4,80,0,10,2,3,10,3,9,9,0
50,1,989,1,7,2,1,1,80,2,0,43,2,5,6,3,2,18740,16701,5,1,12,3,4,80,1,29,2,2,27,3,13,8,0
59,1,1435,0,25,3,0,1,81,1,0,99,3,3,0,1,0,7637,2354,7,0,11,3,4,80,0,28,3,2,21,16,7,9,0
36,1,1223,1,8,3,3,1,83,3,0,59,3,3,7,3,2,10096,8202,1,0,13,3,2,80,3,17,2,3,17,14,12,8,0
55,1,836,1,8,3,1,1,84,4,0,33,3,4,4,3,2,14756,19730,2,1,14,3,3,80,3,21,2,3,5,0,0,2,0
36,1,1195,1,11,3,0,1,85,2,1,95,2,2,3,2,0,6499,22656,1,0,13,3,3,80,0,6,3,3,6,5,0,3,0
45,1,1339,1,7,3,0,1,86,2,1,59,3,3,1,1,2,9724,18787,2,0,17,3,3,80,1,25,2,3,1,0,0,0,0
35,1,664,1,1,3,1,1,88,2,1,79,3,1,1,1,1,2194,5868,4,0,13,3,4,80,1,5,2,2,3,2,1,2,0
36,1,318,1,9,3,1,1,90,4,1,79,2,1,1,3,1,3388,21777,0,1,17,3,1,80,1,2,0,2,1,0,0,0,1
59,1,1225,0,1,1,0,1,91,1,0,57,2,2,0,3,0,5473,24668,7,0,11,3,4,80,0,20,2,2,4,3,1,3,0
29,1,1328,1,2,3,0,1,94,3,1,76,3,1,1,2,1,2703,4956,0,0,23,4,4,80,1,6,3,3,5,4,0,4,0
31,1,1082,1,1,4,1,1,95,3,1,87,3,1,1,2,0,2501,18775,1,0,17,3,2,80,0,1,4,3,1,1,1,0,0
32,1,548,1,1,3,0,1,96,2,1,66,3,2,1,2,1,6220,7346,1,0,17,3,2,80,2,10,3,3,10,4,0,9,0
36,1,132,1,6,3,0,1,97,2,0,55,4,1,2,4,1,3038,22002,3,0,12,3,2,80,0,5,3,3,1,0,0,0,0
31,1,746,1,8,4,0,1,98,3,0,61,3,2,3,4,0,4424,20682,1,0,23,4,4,80,0,11,2,3,11,7,1,8,0
35,1,776,0,1,4,2,1,100,3,1,32,2,2,0,1,0,4312,23016,0,0,14,3,2,80,0,16,2,3,15,13,2,8,0
45,1,193,1,6,4,4,1,101,4,1,52,3,3,6,1,1,13245,15067,4,1,14,3,2,80,0,17,3,4,0,0,0,0,0
37,1,397,1,7,4,1,1,102,1,1,30,3,3,6,3,0,13664,25258,4,0,13,3,1,80,0,16,3,4,5,2,0,2,0
46,1,945,2,5,2,1,1,103,2,1,80,3,2,8,2,2,5021,10425,8,1,22,4,4,80,1,16,2,3,4,2,0,2,0
30,1,852,1,1,1,0,1,104,4,1,55,2,2,2,4,1,5126,15998,1,1,12,3,3,80,2,10,1,2,10,8,3,0,0
35,1,1214,1,1,3,1,1,105,2,1,30,2,1,1,3,0,2859,26278,1,0,18,3,1,80,0,6,3,3,6,4,0,4,0
55,1,111,0,1,2,0,1,106,1,1,70,3,3,0,4,1,10239,18092,3,0,14,3,4,80,1,24,4,3,1,0,1,0,0
38,0,573,1,6,3,1,1,107,2,0,79,1,2,1,4,2,5329,15717,7,1,12,3,4,80,3,17,3,3,13,11,1,9,0
34,1,1153,1,1,2,1,1,110,1,1,94,3,2,3,2,1,4325,17736,1,0,15,3,3,80,0,5,2,3,5,2,1,3,0
56,1,1400,1,7,3,0,1,112,4,1,49,1,3,3,4,0,7260,21698,4,0,11,3,1,80,0,37,3,2,6,4,0,2,0
23,1,541,0,2,1,3,1,113,3,1,62,3,1,5,1,2,2322,9518,3,0,13,3,3,80,1,3,3,3,0,0,0,0,0
51,1,432,1,9,4,0,1,116,4,1,96,3,1,2,4,1,2075,18725,3,0,23,4,2,80,2,10,4,3,4,2,0,3,0
30,1,288,1,2,3,0,1,117,3,1,99,2,2,7,4,1,4152,15830,1,0,19,3,1,80,3,11,3,3,11,10,10,8,0
46,1,669,0,9,2,1,1,118,3,1,64,2,3,0,4,0,9619,13596,1,0,16,3,4,80,0,9,3,3,9,8,4,7,1
40,1,530,1,1,4,0,1,119,3,1,78,2,4,7,2,1,13503,14115,1,0,22,4,4,80,1,22,3,2,22,3,11,11,0
51,1,632,0,21,4,2,1,120,3,1,71,3,2,0,4,0,5441,8423,0,1,22,4,4,80,0,11,2,1,10,7,1,0,0
30,1,1334,0,4,2,1,1,121,3,0,63,2,2,0,2,2,5209,19760,1,1,12,3,2,80,3,11,4,2,11,8,2,7,0
46,1,638,1,1,3,1,1,124,3,1,40,2,3,7,1,1,10673,3142,2,1,13,3,3,80,1,21,5,2,10,9,9,5,0
32,1,1093,0,6,4,1,1,125,2,1,87,3,2,0,3,0,5010,24301,1,0,16,3,1,80,0,12,0,3,11,8,5,7,0
54,1,1217,1,2,4,3,1,126,1,0,60,3,3,6,3,1,13549,24001,9,0,12,3,1,80,1,16,5,1,4,3,0,3,0
24,1,1353,0,3,2,4,1,128,1,0,33,3,2,0,3,1,4999,17519,0,0,21,4,1,80,1,4,2,2,3,2,0,2,0
28,0,120,0,4,3,1,1,129,2,1,43,3,2,0,3,1,4221,8863,1,0,15,3,2,80,0,5,3,4,5,4,0,4,0
58,1,682,0,10,4,1,1,131,4,1,37,3,4,0,3,0,13872,24409,0,0,13,3,3,80,0,38,1,2,37,10,1,8,0
44,0,489,1,23,3,1,1,132,2,1,67,3,2,2,2,1,2042,25043,4,0,12,3,3,80,1,17,3,4,3,2,1,2,0
37,1,807,2,6,4,5,1,133,3,1,63,3,1,8,1,2,2073,23648,4,1,22,4,4,80,0,7,3,3,3,2,0,2,1
32,1,827,1,1,1,0,1,134,4,1,71,3,1,1,1,0,2956,15178,1,0,13,3,4,80,0,1,2,3,1,0,0,0,0
20,1,871,1,6,3,0,1,137,4,0,66,2,1,2,4,0,2926,19783,1,1,18,3,2,80,0,1,5,3,1,0,1,0,1
34,1,665,1,6,4,4,1,138,1,0,41,3,2,1,3,0,4809,12482,1,0,14,3,3,80,0,16,3,3,16,13,2,10,0
37,0,1040,1,2,2,0,1,139,3,1,100,2,2,7,4,2,5163,15850,5,0,14,3,4,80,1,17,2,4,1,0,0,0,0
59,0,1420,2,2,4,5,1,140,3,0,32,2,5,4,4,1,18844,21922,9,0,21,4,4,80,1,30,3,3,3,2,2,2,0
50,1,1115,1,1,3,0,1,141,1,0,73,3,5,6,2,1,18172,9755,3,1,19,3,1,80,0,28,1,2,8,3,0,7,0
25,1,240,0,5,3,2,1,142,3,1,46,2,2,0,3,0,5744,26959,1,1,11,3,4,80,0,6,1,3,6,4,0,3,1
25,1,1280,1,7,1,1,1,143,4,1,64,2,1,1,4,1,2889,26897,1,0,11,3,3,80,2,2,2,3,2,2,2,1,0
22,1,534,1,15,3,1,1,144,2,0,59,3,1,2,4,0,2871,23785,1,0,15,3,3,80,0,1,5,3,0,0,0,0,0
51,1,1456,1,1,4,1,1,145,1,0,30,2,3,7,1,0,7484,25796,3,0,20,4,3,80,0,23,1,2,13,12,12,8,0
34,1,658,1,7,3,0,1,147,1,1,66,1,2,2,3,0,6074,22887,1,1,24,4,4,80,0,9,3,3,9,7,0,6,1
54,0,142,2,26,3,5,1,148,4,0,30,4,4,4,4,0,17328,13871,2,1,12,3,3,80,0,23,3,3,5,3,4,4,0
24,1,1127,1,18,1,0,1,150,2,1,52,3,1,2,3,1,2774,13257,0,0,12,3,3,80,1,6,2,3,5,3,1,2,0
34,1,1031,1,6,4,0,1,151,3,0,45,2,2,1,2,2,4505,15000,6,0,15,3,3,80,1,12,3,3,1,0,0,0,0
37,1,1189,0,3,3,0,1,152,3,1,87,3,3,0,4,0,7428,14506,2,0,12,3,1,80,0,12,3,3,5,3,1,3,0
34,1,1354,1,5,3,1,1,153,3,0,45,2,3,4,1,0,11631,5615,2,0,12,3,4,80,0,14,6,3,11,10,5,8,0
36,1,1467,0,11,2,3,1,154,2,0,92,3,3,0,4,1,9738,22952,0,0,14,3,3,80,1,10,6,3,9,7,2,8,0
36,1,922,1,3,2,0,1,155,1,0,39,3,1,2,4,2,2835,2561,5,0,22,4,1,80,1,7,2,3,1,0,0,0,0
43,1,394,0,26,2,0,1,158,3,1,92,3,4,4,4,1,16959,19494,1,1,12,3,4,80,2,25,3,4,25,12,4,12,0
30,1,1312,1,23,3,0,1,159,1,1,96,1,1,1,3,2,2613,22310,1,0,25,4,3,80,3,10,2,2,10,7,0,9,0
33,0,750,0,22,2,2,1,160,3,1,95,3,2,0,2,1,6146,15480,0,0,13,3,1,80,1,8,2,4,7,7,0,7,0
56,1,441,1,14,4,0,1,161,2,0,72,3,1,1,2,1,4963,4510,9,1,18,3,1,80,3,7,2,3,5,4,4,3,1
51,1,684,1,6,3,0,1,162,1,1,51,3,5,6,3,0,19537,6462,7,0,13,3,3,80,0,23,5,3,20,18,15,15,0
31,1,249,0,6,4,0,1,163,2,1,76,1,2,0,3,1,6172,20739,4,1,18,3,2,80,0,12,3,2,7,7,7,7,1
26,1,841,1,6,3,4,1,164,3,0,46,2,1,1,2,1,2368,23300,1,0,19,3,3,80,0,5,3,2,5,4,4,3,0
58,1,147,1,23,4,1,1,165,4,0,94,3,3,7,4,1,10312,3465,1,0,12,3,4,80,1,40,3,2,40,10,15,6,1
19,1,528,0,22,1,2,1,167,4,1,50,3,1,5,3,0,1675,26820,1,1,19,3,4,80,0,0,2,2,0,0,0,0,1
22,1,594,1,2,1,3,1,169,3,1,100,3,1,2,4,1,2523,19299,0,0,14,3,3,80,1,3,2,3,2,1,2,1,0
49,1,470,1,20,4,1,1,170,3,0,96,3,2,3,1,1,6567,5549,1,0,14,3,3,80,0,16,2,2,15,11,5,11,0
43,1,957,1,28,3,1,1,171,2,0,72,4,1,1,3,0,4739,16090,4,0,12,3,4,80,0,18,2,3,3,2,1,2,0
50,1,809,0,12,3,2,1,174,3,0,77,3,3,0,4,0,9208,6645,4,0,11,3,4,80,0,16,3,3,2,2,2,1,0
31,1,542,0,20,3,0,1,175,2,0,71,1,2,0,3,1,4559,24788,3,1,11,3,3,80,1,4,2,3,2,2,2,2,1
41,1,802,0,9,1,0,1,176,3,1,96,3,3,0,3,2,8189,21196,3,1,13,3,3,80,1,12,2,3,9,7,0,7,0
26,1,1355,2,25,1,0,1,177,3,0,61,3,1,8,3,1,2942,8916,1,0,23,4,4,80,1,8,3,3,8,7,5,7,0
36,1,216,1,6,2,1,1,178,2,1,84,3,2,3,2,2,4941,2819,6,0,20,4,4,80,2,7,0,3,3,2,0,1,0
51,1,1150,1,8,4,0,1,179,1,1,53,1,3,3,4,0,10650,25150,2,0,15,3,4,80,0,18,2,3,4,2,0,3,1
39,1,1329,0,4,4,0,1,182,4,0,47,2,2,0,3,1,5902,14590,4,0,14,3,3,80,1,17,1,4,15,11,5,9,0
25,1,959,0,28,3,0,1,183,1,1,41,2,2,0,3,1,8639,24835,2,0,18,3,4,80,0,6,3,3,2,2,2,2,0
30,1,1240,2,9,3,5,1,184,3,1,48,3,2,8,4,1,6347,13982,0,1,19,3,4,80,0,12,2,1,11,9,4,7,0
32,1,1033,1,9,3,1,1,190,1,0,41,3,1,2,1,0,4200,10224,7,0,22,4,1,80,0,10,2,4,5,4,0,4,1
45,1,1316,1,29,3,1,1,192,3,1,83,3,1,1,4,0,3452,9752,5,0,13,3,2,80,0,9,2,2,6,5,0,3,0
38,1,364,1,3,5,3,1,193,4,0,32,3,2,1,3,0,4317,2302,3,1,20,4,2,80,0,19,2,3,3,2,2,2,0
30,1,438,1,18,3,0,1,194,1,0,75,3,1,1,3,0,2632,23910,1,0,14,3,3,80,0,5,4,2,5,4,0,4,0
32,1,689,0,9,2,1,1,195,4,1,35,1,2,0,4,2,4668,22812,0,0,17,3,4,80,3,9,2,4,8,7,0,7,0
30,1,201,1,5,3,3,1,197,4,0,84,3,1,1,1,2,3204,10415,5,0,14,3,4,80,1,8,3,3,3,2,2,2,0
30,1,1427,1,2,1,1,1,198,2,1,35,2,1,2,4,0,2720,11162,0,0,13,3,4,80,0,6,3,3,5,3,1,2,0
41,1,857,1,10,3,0,1,199,4,1,91,2,4,4,1,2,17181,12888,4,0,13,3,2,80,1,21,2,2,7,6,7,7,0
41,1,933,1,9,4,0,1,200,3,1,94,3,1,2,1,1,2238,6961,2,0,21,4,4,80,1,7,2,3,5,0,1,4,0
19,1,1181,1,3,1,1,1,201,2,0,79,3,1,2,2,0,1483,16102,1,0,14,3,4,80,0,1,3,3,1,0,0,0,0
40,1,1395,1,26,3,1,1,202,2,0,54,3,2,1,2,2,5605,8504,1,0,11,3,1,80,1,20,2,3,20,7,2,13,0
35,1,662,0,1,5,2,1,204,3,1,94,3,3,0,2,1,7295,11439,1,0,13,3,1,80,2,10,3,3,10,8,0,6,0
53,1,1436,0,6,2,2,1,205,2,1,34,3,2,5,3,1,2306,16047,2,1,20,4,4,80,1,13,3,1,7,7,4,5,0
45,1,194,1,9,3,0,1,206,2,1,60,3,2,2,2,2,2348,10901,8,0,18,3,3,80,1,20,2,1,17,9,0,15,0
32,1,967,0,8,3,2,1,207,2,0,43,3,3,0,4,0,8998,15589,1,0,14,3,4,80,0,9,2,3,9,8,3,7,0
29,0,1496,1,1,1,3,1,208,4,1,41,3,2,3,3,1,4319,26283,1,0,13,3,1,80,1,10,1,3,10,7,0,9,0
51,1,1169,1,7,4,1,1,211,2,1,34,2,2,3,3,1,6132,13983,2,0,17,3,3,80,0,10,2,3,1,0,0,0,0
58,1,1145,1,9,3,1,1,214,2,0,75,2,1,1,2,1,3346,11873,4,1,20,4,2,80,1,9,3,2,1,0,0,0,0
40,1,630,0,4,4,2,1,215,3,1,67,2,3,0,4,1,10855,8552,7,0,11,3,1,80,1,15,2,2,12,11,2,11,0
34,1,303,0,2,4,2,1,216,3,0,75,3,1,5,3,1,2231,11314,6,0,18,3,4,80,1,6,3,3,4,3,1,2,0
22,1,1256,1,19,1,1,1,217,3,1,80,3,1,1,4,1,2323,11992,1,0,24,4,1,80,2,2,6,3,2,2,2,2,0
27,0,691,1,9,3,1,1,218,4,1,57,3,1,1,2,2,2024,5970,6,0,18,3,4,80,1,6,1,1,2,2,2,2,0
28,1,440,1,21,3,1,1,221,3,1,42,3,1,1,4,1,2713,6672,1,0,11,3,3,80,1,5,2,1,5,2,0,2,0
57,1,334,1,24,2,0,1,223,3,1,83,4,3,7,4,2,9439,23402,3,1,16,3,2,80,1,12,2,1,5,3,1,4,0
27,0,1450,1,3,3,1,1,224,3,1,79,2,1,1,3,2,2566,25326,1,1,15,3,4,80,1,1,2,2,1,1,0,1,0
50,1,1452,1,11,3,0,1,226,3,0,53,3,5,4,2,0,19926,17053,3,0,15,3,2,80,0,21,5,3,5,4,4,4,0
41,1,465,1,14,3,0,1,227,1,1,56,3,1,1,3,2,2451,4609,4,0,12,3,1,80,1,13,2,3,9,8,1,8,0
30,1,1339,0,5,3,0,1,228,2,0,41,3,3,0,4,1,9419,8053,2,0,12,3,3,80,1,12,2,3,10,9,7,4,0
38,1,702,0,1,4,0,1,230,1,0,59,2,2,0,4,0,8686,12930,4,0,22,4,3,80,0,12,2,4,8,3,0,7,0
32,1,120,1,6,5,0,1,231,3,1,43,3,1,1,3,0,3038,12430,3,0,20,4,1,80,0,8,2,3,5,4,1,4,0
27,1,1157,1,17,3,3,1,233,3,1,51,3,1,1,2,1,3058,13364,0,1,16,3,4,80,1,6,3,2,5,2,1,1,0
19,1,602,0,1,1,3,1,235,3,0,100,1,1,5,1,0,2325,20989,0,0,21,4,1,80,0,1,5,4,0,0,0,0,1
36,1,1480,1,3,2,1,1,238,4,1,30,3,1,2,2,0,2088,15062,4,0,12,3,3,80,0,13,3,2,8,7,7,2,0
30,0,111,1,9,3,1,1,239,3,1,66,3,2,2,1,2,3072,11012,1,0,11,3,3,80,2,12,4,3,12,9,6,10,0
45,1,1268,0,4,2,0,1,240,3,0,30,3,2,0,1,2,5006,6319,4,1,11,3,1,80,1,9,3,4,5,4,0,3,0
56,1,713,1,8,3,0,1,241,3,0,67,3,1,1,1,2,4257,13939,4,1,18,3,3,80,1,19,3,3,2,2,2,2,0
33,1,134,1,2,3,0,1,242,3,1,90,3,1,1,4,0,2500,10515,0,0,14,3,1,80,0,4,2,4,3,1,0,2,0
19,1,303,1,2,3,0,1,243,2,1,47,2,1,2,4,0,1102,9241,1,0,22,4,3,80,0,1,3,2,1,0,1,0,1
46,1,526,0,1,2,2,1,244,2,0,92,3,3,0,1,2,10453,2137,1,0,25,4,3,80,3,24,2,3,24,13,15,7,0
38,1,1380,1,9,2,0,1,245,3,0,75,3,1,2,4,0,2288,6319,1,0,12,3,3,80,0,2,3,3,2,2,2,1,0
31,1,140,1,12,1,1,1,246,3,0,95,3,1,1,4,1,3929,6984,8,1,23,4,3,80,1,7,0,3,4,2,0,2,0
34,1,629,1,27,2,1,1,247,4,0,95,3,1,1,2,0,2311,5711,2,0,15,3,4,80,0,9,3,3,3,2,1,2,0
41,1,1356,0,20,2,2,1,248,2,0,70,3,1,5,2,0,3140,21728,1,1,22,4,4,80,0,4,5,2,4,3,0,2,1
50,1,328,1,1,3,1,1,249,3,1,86,2,1,2,3,1,3690,3425,2,0,15,3,4,80,1,5,2,2,3,2,0,2,0
53,1,1084,1,13,2,1,1,250,4,0,57,4,2,3,1,2,4450,26250,1,0,11,3,3,80,2,5,3,3,4,2,1,3,0
33,1,931,1,14,3,1,1,252,4,0,72,3,1,1,2,1,2756,4673,1,0,13,3,4,80,1,8,5,3,8,7,1,6,0
40,1,989,1,4,1,1,1,253,4,0,46,3,5,4,3,1,19033,6499,1,0,14,3,2,80,1,21,2,3,20,8,9,9,0
55,1,692,1,14,4,1,1,254,3,1,61,4,5,6,2,0,18722,13339,8,0,11,3,4,80,0,36,3,3,24,15,2,15,0
34,1,1069,1,2,1,0,1,256,4,1,45,2,2,3,3,1,9547,14074,1,0,17,3,3,80,0,10,2,2,10,9,1,9,0
51,1,313,1,3,3,1,1,258,4,0,98,3,4,7,2,0,13734,7192,3,0,18,3,3,80,0,21,6,3,7,7,1,0,0
52,1,699,1,1,4,0,1,259,3,1,65,2,5,4,3,1,19999,5678,0,0,14,3,1,80,1,34,5,3,33,18,11,9,0
